practice_hours,quiz_score,passed,skill_level
1.786,56.073,0,0
5.493,87.993,1,2
6.515,48.869,0,0
0.787,48.652,0,0
1.979,50.436,0,0
9.782,65.870,0,0
1.204,50.372,0,0
1.798,54.967,0,0
9.983,83.630,1,1
6.719,52.392,0,0
4.190,70.258,1,1
5.614,76.975,1,1
7.128,96.740,1,2
3.253,63.134,0,1
1.880,50.699,0,0
8.380,89.301,1,2
7.204,55.182,0,0
5.624,87.367,1,2
8.667,52.738,0,0
5.991,45.777,0,0
10.309,92.345,1,2
2.545,81.137,1,1
6.037,50.376,0,0
5.336,59.112,0,0
4.033,88.505,1,2
6.416,50.768,0,0
2.853,93.418,1,2
8.522,51.132,0,0
9.173,74.840,0,1
1.788,55.151,0,0
5.171,75.175,1,1
3.271,54.755,0,0
1.331,51.362,0,0
9.459,65.023,0,0
4.799,84.059,1,2
1.977,73.997,0,1
7.234,75.464,0,1
2.522,73.186,0,1
9.514,76.353,0,1
2.671,52.947,0,0
0.831,69.711,0,0
2.508,49.797,0,0
3.957,50.566,0,0
5.189,57.704,0,0
9.561,46.603,0,0
7.474,53.359,0,0
3.893,67.015,0,1
0.669,46.175,0,0
2.098,98.691,1,2
10.464,93.457,1,1
5.097,85.039,1,2
7.410,59.286,0,0
1.047,79.582,0,1
0.841,54.875,0,0
8.959,99.483,1,2
6.379,84.267,1,2
3.587,67.392,0,1
3.674,70.151,1,1
1.392,66.362,0,0
2.227,92.247,1,2
0.746,79.432,0,1
8.891,50.852,0,0
5.163,50.184,0,0
1.772,88.665,1,2
7.892,61.020,0,0
2.457,68.702,0,1
1.119,78.497,0,1
6.484,61.113,0,1
9.458,86.380,1,1
0.769,83.766,1,1
8.551,49.144,0,0
2.402,77.237,1,1
1.429,96.140,1,2
0.680,81.329,0,1
3.430,57.181,0,0
7.771,59.916,0,0
5.432,92.173,1,2
9.029,87.810,1,2
2.672,59.452,0,0
3.652,72.646,1,1
3.081,63.670,0,1
10.283,89.897,1,2
9.910,48.672,0,0
3.907,46.555,0,0
4.860,99.882,1,2
3.643,57.570,0,1
7.965,57.778,0,0
0.900,91.224,1,1
1.174,94.100,1,2
4.540,77.718,1,1
2.951,55.072,0,0
8.952,58.350,0,0
7.918,55.098,0,0
5.958,45.107,0,0
7.115,46.391,0,0
7.423,69.461,1,1
8.311,76.846,1,1
9.775,52.452,0,0
1.997,46.201,0,0
6.761,55.307,0,0
1.936,50.767,0,0
4.931,49.552,0,0
8.363,59.087,0,0
9.447,59.406,0,0
8.092,51.145,0,0
0.854,51.358,0,0
4.094,46.860,0,0
2.131,71.140,1,1
10.488,48.724,0,0
1.940,80.348,0,1
2.943,94.738,1,2
4.072,56.415,0,0
1.109,57.072,0,0
9.204,85.531,1,1
6.864,75.022,1,1
