study_hours,sleep_hours,score_simple,score_multiple,score_curved
9.400495,6.905737,80.555684,81.481926,82.348767
5.547102,5.242272,58.827143,57.432743,86.485100
10.373876,5.532955,85.889474,76.411206,76.928439
8.519732,9.129247,74.537235,83.441072,78.045021
1.583040,5.712577,40.261204,46.008663,56.453603
11.719657,5.903214,88.451370,88.465306,65.338780
9.253107,8.836914,78.370250,86.064996,76.805596
9.539740,9.500000,76.578995,88.001383,75.709678
1.973307,5.828433,37.468404,45.204518,62.076722
5.679438,6.631751,62.828747,63.956533,78.468871
4.764177,7.341556,57.040510,62.100790,72.595559
11.157797,8.728698,87.697366,91.040420,64.206464
7.904449,6.013143,68.888572,73.932986,82.597718
9.961759,6.754722,76.868263,84.139898,73.203434
5.599263,7.777338,58.589104,68.988606,80.073117
3.113245,7.434766,51.341030,54.862957,70.135848
6.877725,6.623844,67.321711,69.989730,78.638277
1.233898,6.866177,35.420517,47.866800,54.915769
10.017758,5.625104,84.024280,78.735186,74.615731
7.764141,6.761826,68.028028,74.568904,74.373431
9.218009,6.733613,78.260801,79.372653,82.880543
4.577049,7.232170,54.457313,62.561160,72.864264
11.663027,6.444673,91.641843,88.230421,54.886124
10.770893,7.471539,88.667345,87.503682,63.937704
9.451410,8.012716,80.781765,80.770915,70.892438
2.738345,7.155429,45.849881,53.976186,64.721168
5.867292,7.351756,59.719901,66.160499,77.913828
1.003743,7.053155,37.115470,44.665309,47.672800
2.274329,7.000084,45.311818,54.020312,63.683922
8.355063,6.278442,72.341535,76.104759,80.454179
9.064765,7.316494,76.267862,81.710672,78.354926
11.626362,6.902713,94.291287,88.976951,64.464123
4.246992,9.093168,52.126368,68.112043,76.405108
4.760287,8.573355,58.037162,66.493962,66.376370
5.899892,7.385847,60.384355,67.538472,77.571315
2.678921,6.236943,47.108370,49.033692,54.235979
1.994097,5.887589,40.831687,47.412159,58.711477
5.970607,8.191143,62.160673,70.184663,79.325509
3.109458,7.262749,49.609561,53.724649,71.799968
8.202861,7.480143,72.751622,76.671107,84.584798
5.527247,5.255414,57.412165,58.806719,79.271561
10.075799,7.927438,82.504608,88.367342,70.364495
8.553049,7.454420,76.235826,79.407660,80.638364
4.092216,5.889569,48.557229,55.232655,70.496668
10.070988,6.528475,84.651177,81.548252,72.634511
9.754790,7.263717,80.622845,82.329374,78.612554
4.956001,7.052467,58.562433,62.087528,74.084388
